id,ddG_DUET
0.0,0.397
1.0,-3.161
2.0,-1.001
3.0,-0.809
4.0,-1.389
5.0,-0.01
6.0,-0.021
7.0,-0.171
8.0,-1.434
9.0,-0.11
10.0,-0.868
11.0,-2.701
12.0,0.281
13.0,-0.132
14.0,-2.882
15.0,0.293
16.0,-0.299
17.0,-0.224
18.0,-0.95
19.0,-2.769
20.0,0.745
22.0,-1.855
23.0,-0.642
24.0,0.146
25.0,-3.041
26.0,0.176
27.0,-1.086
28.0,0.381
29.0,-0.38
30.0,0.145
31.0,0.517
32.0,0.681
33.0,0.346
34.0,-0.259
35.0,-0.537
36.0,0.148
37.0,0.106
38.0,0.442
39.0,0.332
40.0,0.395
41.0,-0.036
42.0,-0.263
43.0,-0.597
44.0,-2.202
45.0,-0.138
46.0,-0.206
47.0,-0.112
48.0,-0.061
49.0,-1.175
50.0,-1.201
51.0,-3.23
52.0,-1.971
53.0,0.124
54.0,-0.433
55.0,-0.913
56.0,-1.017
57.0,-0.669
58.0,-0.751
59.0,-2.797
60.0,-3.247
61.0,0.247
62.0,-0.319
63.0,-3.234
64.0,-1.129
65.0,-3.73
66.0,-1.065
67.0,-0.801
68.0,-0.338
69.0,-1.356
70.0,-0.402
71.0,-1.427
72.0,-3.932
73.0,-2.429
74.0,-2.563
75.0,-1.031
76.0,-2.44
77.0,-0.892
78.0,-1.803
79.0,-2.175
80.0,-0.549
81.0,0.029
82.0,-0.212
83.0,-1.334
84.0,-0.676
85.0,-0.159
86.0,0.164
87.0,0.337
88.0,-0.502
89.0,-0.72
90.0,-0.213
91.0,-1.946
92.0,-0.349
93.0,-0.445
94.0,-2.294
95.0,-0.792
96.0,-0.896
97.0,-1.116
98.0,0.586
99.0,-0.329
100.0,-0.245
101.0,-0.681
102.0,-0.239
103.0,-0.634
104.0,-0.701
105.0,-0.604
106.0,-0.687
107.0,0.037
108.0,-1.023
109.0,-0.953
110.0,-1.327
111.0,-0.3
112.0,0.017
113.0,0.201
114.0,-0.035
115.0,-1.899
116.0,-0.605
117.0,-1.373
118.0,-1.549
119.0,-0.402
120.0,-1.153
121.0,-1.691
122.0,-2.234
123.0,-0.767
124.0,-0.987
125.0,-0.212
126.0,0.433
127.0,-1.372
128.0,-0.827
129.0,-0.15
130.0,-1.814
131.0,-1.703
132.0,-3.268
133.0,0.48
134.0,0.326
135.0,0.67
136.0,-1.033
137.0,-0.089
138.0,-0.062
139.0,0.085
140.0,0.729
141.0,-1.905
142.0,-1.676
143.0,0.241
144.0,0.083
145.0,-1.371
146.0,-1.301
147.0,-2.823
148.0,-0.159
149.0,0.142
150.0,-0.147
151.0,-0.413
152.0,-0.437
153.0,0.096
154.0,-0.265
155.0,-0.186
162.0,-0.4
163.0,-2.16
164.0,-3.536
165.0,-2.347
166.0,0.923
167.0,-2.404
168.0,-2.96
169.0,-2.046
170.0,-1.92
171.0,-2.757
172.0,-0.475
173.0,-0.585
174.0,-3.313
175.0,-2.653
176.0,-1.616
177.0,-0.832
178.0,-2.056
179.0,-2.442
