id,ddG_DynaMut2,url
1,-2.33,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728149617
2,-0.83,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
3,-0.59,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728155906
4,-1.26,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
5,-0.54,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
6,-0.11,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
7,0.02,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728168551
8,-1.53,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728171192
9,-0.31,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16272817380
10,-0.73,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728176529
11,-2.06,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728179148
12,-0.17,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16272818173
13,-0.51,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728184274
14,-2.05,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728187017
15,0.15,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
16,-0.15,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728192707
17,0.03,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728195521
18,-0.66,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728198453
19,-1.95,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728201201
20,0.59,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
22,-1.95,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16272821674
23,-0.23,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728219654
24,-0.3,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
25,-3.12,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
26,0.05,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728229588
27,-1.71,http://biosig.unimelb.edu.au/dynamut2/submit_prediction
28,0.47,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728236112
29,0.59,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728238996
30,0.43,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728243014
31,0.45,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728245939
32,0.89,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728248644
33,-0.07,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728251267
34,-0.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16272825444
35,-0.74,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162728257512
