id,ddG_INPS3D,url
0,-0.3908451,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=25c76c5b-a9a1-4cb7-8987-205cca716df4
1,-2.997085,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=3e453366-d05e-4fa9-abb5-2a34d8f75b30
2,-0.623621,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=d9275d52-08c6-4199-9312-cb81dffc88f0
3,-0.581949,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=34d023f6-9b4c-4737-9b54-23c1d9b2542b
4,-1.190765,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=f0df4a59-9b9e-4660-b517-16c76a89d44e
5,-0.4056075,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=37821a04-d36a-43b7-984c-da4822974dd0
6,-1.38221,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=8a41aef6-43ff-416d-83f1-894fbf804ece
7,-1.0891265,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=79802d0f-1c5b-4f77-b5e7-f8a85b89c34d
8,-2.11863,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=cba52d40-197c-4910-8a7a-ee04c6798f67
9,-0.682426,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=7209d164-4293-4da5-aca9-773c7fc8c3d3
10,-1.278525,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=8c3592fe-478f-4159-95c6-2b5aa6485208
11,-2.99485,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=f23b3a67-fefe-489b-9d04-a47f31b3f751
12,0.07651725,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=e83895cb-36f0-4330-846e-c82b235788b0
13,-0.292579,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=a5a15078-60be-4ac1-a6a7-d8f593700627
14,-2.04254,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=172de20e-7b42-48da-b9f4-8f63543bc5b1
15,-0.1088425,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=c8dcef14-7c0b-42f9-9beb-b3762ca2a74d
16,-0.445399,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=0dd5cd61-6b8f-43e9-a837-b4ca9fb4247e
17,-0.13160975,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=88599af3-d77a-479c-a46e-6b13d9048c77
18,-1.023186,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=f2da7959-195c-4f70-9ff1-f36f2aa9fe07
19,-2.60168,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=ac007853-106c-48cf-8779-f11b77fc78c9
20,0.13974415,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=62d32dd5-254b-4499-b8cd-4b17993d1e82
21,0.3916505,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=74bc23ad-9ead-4b77-854c-5357b80b63a6
22,-0.07031415,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=58366c48-7bbb-4e1b-8d59-4e5766fb2e5d
23,-0.8731065,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=1b6c4d95-9ea9-49ca-b60c-aed760a46577
24,-0.50913,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=25dd7eda-4de0-47ed-9a89-753cc35593e4
25,-2.42571,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=ae9abd16-6013-4d00-874a-1074799914f3
26,0.0735558,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=01db519c-d9c1-4789-a13a-cd0627c9520d
