id,ddG_MAESTRO,ddG_confidence
0,0.17276,0.86663
1,1.7677,0.86647
2,1.60139,0.80351
3,-0.45895,0.89744
4,-0.25962,0.91524
5,1.39758,0.76245
6,0.31561,0.88353
7,1.25539,0.89124
8,-1.223,0.88706
9,-0.89259,0.88104
10,3.39296,0.76257
11,2.5145,0.83129
12,0.0247,0.79478
13,1.83752,0.85264
14,1.62308,0.89674
15,1.67125,0.85162
16,2.13357,0.83048
17,0.61917,0.84103
19,1.83567,0.88316
21,0.97011,0.88956
22,1.8863,0.8583
23,1.59455,0.87557
24,1.6712,0.88612
25,-0.02379,0.90461
26,1.27118,0.89627
27,1.04518,0.83935
28,0.78933,0.90495
29,-0.37301,0.89731
30,2.53672,0.83743
31,3.25587,0.83436
32,2.20854,0.84668
33,0.36284,0.92905
34,2.86883,0.70238
35,2.71938,0.76821
36,-0.59009,0.89874
37,-0.10906,0.89311
38,-0.43617,0.88781
39,3.7156,0.7797
40,2.09336,0.83731
41,0.13114,0.9197
42,0.53563,0.81375
43,2.69022,0.80674
44,0.39984,0.88709
45,-0.00229,0.90147
46,0.10739,0.8098
47,2.59952,0.82874
48,0.8387,0.87145
49,-0.17939,0.86683
50,-0.5152,0.91479
51,1.595,0.84242
52,2.86528,0.83986
53,-0.25191,0.93042
54,-1.0054,0.92545
55,-0.57874,0.84238
56,1.15712,0.9047
57,-0.55358,0.88623
58,-0.62513,0.83867
59,1.67967,0.82717
60,1.16004,0.89195
61,0.24153,0.89979
62,-0.68737,0.89874
63,1.5837,0.76742
64,0.16968,0.87488
65,0.94442,0.93536
66,-0.31976,0.9017
67,2.7696,0.81463
68,-0.63664,0.88904
69,0.47532,0.81887
70,1.81426,0.77271
71,4.09049,0.74471
72,-0.26296,0.8829
73,1.23678,0.88845
74,0.54187,0.93636
75,0.5397,0.92913
76,0.22977,0.92911
77,1.53672,0.86437
78,0.16208,0.87889
79,3.14995,0.84843
80,0.44665,0.88611
81,-0.25866,0.89064
82,-1.21131,0.87825
83,0.81674,0.81879
84,3.02226,0.78616
85,3.57562,0.72722
86,-0.25993,0.89249
87,1.23449,0.7969
88,2.30322,0.8423
89,1.92284,0.87349
90,-1.03889,0.8767
91,1.99654,0.84064
92,-0.34113,0.95392
93,0.02589,0.86922
94,2.1375,0.8601
95,0.17117,0.92611
96,0.52522,0.8348
97,3.40812,0.82194
98,-0.48504,0.89035
99,1.35911,0.77246
100,1.44119,0.89529
101,2.71772,0.815
102,0.31588,0.86201
103,1.34186,0.88735
104,0.99494,0.88988
105,0.77363,0.91937
106,-1.074,0.85025
107,3.08178,0.81308
108,1.64382,0.84477
109,1.82757,0.84011
110,0.53434,0.86305
111,-0.42747,0.94976
112,1.5957,0.8819
113,1.49467,0.82343
114,2.67503,0.85919
115,0.34947,0.91849
116,0.99653,0.81212
117,-0.29608,0.91908
118,1.2214,0.87715
120,1.03735,0.90078
121,0.7148,0.9288
122,0.23666,0.81658
123,2.82732,0.80231
124,0.358,0.91411
125,-0.23549,0.88186
126,0.45689,0.8037
127,-0.36391,0.87736
128,1.37161,0.89067
129,0.26553,0.86035
130,1.16702,0.8348
131,0.02595,0.94765
132,2.01152,0.80856
133,-0.3541,0.93282
134,1.31021,0.89626
135,1.65847,0.84409
136,-0.01334,0.88161
137,1.0344,0.91778
138,0.61482,0.86687
139,-0.05761,0.9057
140,2.04686,0.78121
141,1.58433,0.89255
142,0.48824,0.90653
143,-0.38771,0.76181
144,0.02533,0.93656
145,-0.26995,0.8711
146,0.896,0.87681
147,-0.43139,0.84541
148,1.58218,0.72168
149,0.68277,0.80523
150,2.49832,0.8484
151,-0.25305,0.91057
152,2.31758,0.85641
153,-0.04691,0.90426
154,0.09974,0.89798
155,0.90722,0.86761
156,0.85508,0.89126
157,3.05088,0.80313
158,-0.11989,0.88779
159,1.7428,0.88361
160,-0.26848,0.9121
161,0.00283,0.90058
162,-0.75136,0.87091
163,2.94365,0.79056
164,4.29172,0.72927
165,0.69053,0.89586
166,1.1816,0.86614
167,0.66178,0.89745
168,0.43242,0.86042
169,3.33935,0.80921
170,5.02045,0.67464
171,-0.889,0.90125
172,3.09965,0.81279
173,0.69732,0.87258
174,1.40123,0.88269
175,-0.34952,0.87566
176,-0.08221,0.94539
177,-0.30131,0.92175
178,1.0484,0.87268
179,-0.97564,0.86866
180,0.6342,0.90037
181,1.02541,0.87949
182,0.36793,0.87736
184,1.82097,0.85205
185,0.02661,0.89263
186,2.69724,0.7891
188,0.25867,0.86962
189,0.54169,0.89137
190,0.7816,0.7997
191,-0.47679,0.92196
192,-0.18593,0.92315
193,-0.9493,0.7784
194,-0.7044,0.91299
195,2.49569,0.7912
196,1.50661,0.85223
197,2.69001,0.76163
198,-0.32778,0.90856
199,3.16322,0.80383
200,0.17368,0.93273
202,0.51868,0.8618
203,-0.18417,0.91146
204,2.93237,0.83252
205,-0.76611,0.90995
206,1.07648,0.90551
208,-0.22163,0.88882
209,1.41989,0.84565
210,0.22243,0.90488
211,0.42346,0.90329
212,1.88582,0.79841
