id,ddG_mCSM,url
0,-0.041,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499488.92
1,-1.934,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499498.33
2,0.037,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499507.49
3,-1.919,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499519.72
4,-0.474,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499528.86
5,-1.019,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499538.04
6,0.254,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499547.97
7,-0.712,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499557.49
8,0.21,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499566.71
9,0.097,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499576.14
10,-2.772,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499585.84
11,-1.667,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499595.17
12,-0.758,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499607.32
13,-1.271,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499617.02
14,-1.814,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499626.17
15,-2.75,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499637.53
16,-1.176,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499646.97
17,-1.22,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499657.62
18,-1.028,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499668.32
19,-1.436,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499677.51
20,-1.711,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499687.55
21,-1.08,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499696.76
22,-0.836,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499706.56
23,-0.513,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499715.89
24,-0.597,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499725.15
25,-0.373,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499733.85
26,-0.883,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499742.22
27,-1.575,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499750.66
28,-1.44,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499759.94
29,-0.463,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499770.61
30,-1.63,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499779.48
31,-2.874,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499788.85
32,-1.21,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499798.45
33,-1.25,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499807.04
34,-2.553,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499818.3
35,-2.378,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499828.88
