id,ddG_DDGun3D
0,-0.2
1,-3.1
2,-0.3
3,-0.4
4,-1.2
5,-0.1
6,-0.9
7,-0.8
8,-1.6
9,0.2
10,-0.6
11,-2.8
12,-0.1
13,-0.4
14,-2.0
15,0.3
16,-0.4
17,0.3
18,-0.4
19,-3.0
20,-0.1
21,0.3
22,0.0
23,-0.5
24,-0.4
25,-2.3
26,0.2
27,-0.1
28,0.3
29,1.8
30,-0.1
31,1.5
32,-0.1
33,-0.1
34,-0.0
35,-0.2
36,-0.2
37,0.7
38,-0.1
39,0.4
40,-0.1
41,-0.2
42,-0.5
43,-0.7
44,-3.2
45,0.3
46,0.0
47,0.7
48,-0.1
49,-1.6
50,-1.0
51,-2.8
52,-0.6
53,0.2
54,-0.5
55,-0.6
56,-0.2
57,-0.8
58,-0.7
59,-1.5
60,-3.2
61,0.1
62,-0.4
63,-3.4
64,-0.6
65,-3.6
66,-0.4
67,-0.6
68,-0.1
69,-0.8
70,-0.3
71,-1.6
72,-4.5
73,-2.9
74,-2.9
75,-0.1
76,-1.8
77,-1.3
78,-1.7
79,-3.2
80,-0.1
81,0.7
82,-0.1
83,0.8
84,-0.5
85,0.8
86,-0.6
87,0.3
88,0.6
89,0.4
90,1.7
91,-1.4
92,0.1
93,-0.4
94,-1.5
95,-0.1
96,0.6
97,-0.4
98,0.5
99,-0.4
100,-0.0
101,-0.2
102,0.7
103,0.4
104,0.4
105,0.3
106,0.3
107,-0.0
108,-0.5
109,0.2
110,-0.2
111,0.2
112,-0.3
113,0.2
114,0.1
115,0.1
116,-0.2
117,-1.5
118,0.2
119,0.0
120,0.2
121,-0.7
122,-0.9
123,0.0
124,-0.2
125,0.2
126,-0.4
127,-0.5
128,-0.4
129,0.1
130,-0.3
131,-1.7
132,-2.6
133,-0.0
134,0.1
135,0.1
136,-2.1
137,-0.1
138,0.0
139,0.4
140,-0.0
141,-0.4
142,-1.4
143,-1.5
144,0.4
145,-2.6
146,-1.9
147,-3.9
148,0.2
149,0.7
150,0.4
151,0.1
152,-0.0
153,-0.1
154,0.2
155,-0.2
156,0.6
157,1.0
158,3.8
159,2.7
160,-0.4
161,0.1
162,0.7
163,-2.4
164,-4.3
165,-2.7
166,2.5
167,-1.4
168,-5.1
169,-0.4
170,-0.8
171,-1.8
172,-0.2
173,-0.6
174,-4.6
175,-3.0
176,-1.1
177,-1.4
178,-3.0
179,-1.1
180,0.3
181,-1.1
182,-1.2
183,-1.9
184,-4.1
185,-0.3
186,-2.8
187,-1.6
188,-0.2
189,-1.4
190,0.4
191,-0.1
192,-0.5
193,-0.5
194,-0.0
195,0.8
196,0.8
197,0.6
198,0.4
199,-3.0
200,0.4
201,-0.1
202,0.2
203,0.3
204,-0.8
205,-0.9
206,-0.8
207,-0.1
208,3.2
209,3.4
210,0.6
211,3.1
212,0.5
213,3.0
214,-0.3
215,-1.0
216,-0.5
217,0.0
218,-0.7
219,-0.8
220,-0.5
221,-1.1
222,-3.6
223,-2.9
224,1.7
225,-0.2
226,-0.7
227,0.1
228,-0.1
229,-2.3
230,-2.9
231,1.0
232,0.3
233,0.3
234,1.4
235,2.8
236,2.8
237,0.0
238,2.1
239,1.7
240,1.7
241,1.3
242,2.3
243,2.5
244,0.8
245,0.2
246,1.8
247,0.3
248,2.4
249,0.8
250,-1.9
251,-0.7
252,-0.4
253,0.1
254,-3.0
255,-0.2
256,-1.6
257,-3.5
258,-3.5
259,-3.0
260,-3.3
261,-2.3
262,1.0
263,0.0
264,-4.6
265,-3.4
266,-0.4
267,-3.2
268,-2.9
269,-0.8
270,-1.3
271,0.0
272,0.9
273,0.2
274,-0.6
275,0.9
276,1.1
277,-2.1
278,-0.3
279,-0.4
280,1.4
281,-0.9
282,0.7
283,1.3
284,0.2
285,-0.1
286,-0.9
287,-2.4
288,-0.8
289,-2.5
290,-0.8
291,-1.3
292,-0.3
293,-0.8
294,-0.3
295,-1.6
296,-1.8
297,-1.5
298,-2.8
299,-2.9
300,-2.4
301,0.3
302,-0.4
303,-0.3
304,-1.1
305,-0.8
306,-0.1
307,0.2
308,0.1
309,-0.0
310,-3.0
311,0.5
312,1.5
313,0.5
314,-0.4
315,0.5
316,-0.0
317,-0.7
318,0.6
319,-2.9
320,-0.1
321,-0.3
322,-2.0
323,-0.3
324,-0.1
325,4.3
326,1.7
327,1.6
328,1.0
329,-3.2
330,-0.3
331,-0.3
332,-0.6
333,-1.6
334,1.7
335,-0.6
336,-0.5
337,-0.9
338,-3.3
339,0.5
340,1.4
341,0.5
342,0.8
343,-0.3
344,-0.2
345,-0.2
346,-1.6
347,0.0
348,0.3
349,-3.9
